p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63
0	0.6491609091	0.0929645455	0.0825949697	0	0.6356921818	0.4515972727	0.0988757576	0.6711187273	0.5964283636	0.0683594545	0.0827915758	0.6818678182	0.5993372121	0.1035637576	0.0432626061	0.6706653333	0.6177691515	0.0330839394	0.02973	0.7014104848	0.6264773333	0.0645433333	0.0795058182	0.6345097576	0.0766112121	0.0664845455	0.0326487879	0.645496303	0.440555697	0.1214572727	0.0476841212	0	0.6635380606	0.0935690303	0.5456261212	0	0.6629189091	0.567792303	0.0328861818	0.6823053333	0.6051302424	0.5464729697	0.0827113939	0.683892	0.6079404848	0.0919568485	0.0823201212	0.6928287273	0.6176827273	0.0655361818	0.0680881212	0.6937322424	0.6195585455	0.5740529091	0.0706409091	0.6406347879	0.0729324848	0.0321492727	0.0233658182	0.6448566061	0.0727273939	0.0655361818	0.0293387273
0	0.7088683636	0.1643961818	0.0823741212	0	0.7171307273	0.714536303	0.1123334545	0.648983697	0.6976549697	0.0638195758	0.091129697	0.6908395152	0.6926487879	0.1171590909	0.047887697	0.7165889091	0.7011755758	0.025699697	0.0261884242	0.7092045455	0.7045566667	0.0750432121	0.0653406061	0.6943897576	0.1566812727	0.075352	0.0273818788	0.6889444242	0.7293270909	0.1607846667	0.0466306667	0	0.6943768485	0.0823741212	0.701798	0	0.7168349697	0.6964146061	0.0251333939	0.6459509697	0.6946490909	0.6969564242	0.0520804242	0.7060669697	0.6977930303	0.0615598788	0.1582185455	0.7026380606	0.7127546667	0.0562070303	0.0760379394	0.7089652121	0.6422210303	0.7100438788	0.1416553939	0.6929972727	0.0638195758	0.025699697	0.0233410909	0.6960143636	0.0638195758	0.0562070303	0.022852
0	0.4205015152	0.0307799394	0.0535152727	0	0.5596964242	0.5772240606	0.0920793939	0.0439205455	0.0206254545	0.0240053939	0.120631697	0.6897953333	0.6939853939	0.0859281818	0.0352986061	0.3350255152	0.2776456364	0.0575113333	0.026090303	0.7094463636	0.7164957576	0.0807241212	0.0767205455	0.0509287879	0.0250165455	0.0521987879	0.0441246667	0.6931141212	0.5478873333	0.1111971515	0.0456095758	0	0.5858332727	0.0309755758	0.4467884848	0	0.5683612121	0	0.0416977576	0.033188	0.0255093939	0	0.2277595758	0.0346948485	0.0195449091	0.0412343636	0.0516891515	0.2875029091	0.2701598788	0.0403982424	0.0387821212	0.2836299394	0.2788635152	0.4214787273	0.1152221212	0.2785889697	0.0240053939	0.0403246061	0.031246	0.2731132727	0.133202303	0.0538236364	0.0242042424
0	0.0652464242	0.3627418182	0.1369777576	0	0	0.1080487879	0.1574647273	0.075420303	0.0315252121	0.4939807273	0.1312774545	0.6967992121	0.2779200606	0	0	0.0519104242	0.0631722424	0.6842499394	0.7100474545	0.7159156364	0.7169450303	0.0117947879	0.0435172727	0.0399917576	0.3555174545	0.6282003636	0.6383953333	0.6989004242	0.2425158788	0	0.1310718788	0	0.0626414545	0.4130288485	0.0958525455	0	0	0	0.699294303	0.382796303	0.0607428485	0.1655022424	0.3749975758	0.0439910909	0	0.1715853939	0.093198303	0.1149095152	0.166022303	0.3948248485	0.6560291515	0	0	0	0.1545366061	0.0937515758	0.405494	0.6598596364	0.6377025455	0	0.6827206061	0.6679595152	0.6721412727
0	0.1514242424	0.7161214545	0.1310541212	0	0	0.1304847273	0.0081962424	0.1261253333	0.1183052727	0.7057776364	0.1169834545	0.1395902424	0	0	0	0.09362	0.0935140606	0.7035513939	0.6972266061	0.57056	0.4193401212	0.0076226061	0.0104547879	0.0533093333	0.6940457576	0.6947747273	0.696132	0	0.0271664242	0	0.0484993333	0	0.0812746061	0.7174572121	0.187220303	0	0	0	0.6946937576	0.6823684242	0.0780787879	0.0930001818	0.7174864242	0.0272376364	0	0.1508135152	0.0872255152	0.1418353333	0.103814303	0.6814511515	0.7034056364	0	0	0	0.1347931515	0.2360013939	0.7218806667	0.6892089091	0.6895575152	0	0.7028803636	0.6946023636	0.6902785455
0	0.0263024848	0.7174757576	0.1192493333	0	0	0	0	0.0647432121	0.0171594545	0.8771027879	0.1810807879	0	0	0	0	0.0517732121	0.0935043636	0.4762378788	0.2150393333	0	0	0	0	0.0414456364	0.4377903636	0.6977192727	0.3424342424	0	0	0	0	0	0.1844199394	0.7023444242	0.0795480606	0	0	0	0.4382671515	0.5799226061	0.0796866061	0.0727425455	0.7106664242	0.0102995758	0	0.1273192727	0.0701971515	0.1353214545	0.0928081818	0.4146283636	0.5522517576	0	0	0	0.0907142424	0.1363715758	0.7117559394	0.568384303	0.4125918788	0	0.4325756364	0.4071041818	0.1418010909
0	0.0376460606	0.1935439394	0.2649696364	0	0.0568289697	0.0388130303	0.0722255758	0.1778395758	0.0125086667	0.4600562424	0.0513816364	0	0	0.1879552727	0.3286886061	0.0336372121	0.027614303	0	0	0	0	0.1711085455	0.2991835758	0.3072130303	0.2918744848	0.6952770303	0	0.0527037576	0	0.1118109697	0.2728938788	0	0.2162075758	0.1287237576	0.2210268485	0	0.2881895152	0.3641126667	0.1342070303	0.0783850909	0.3174718182	0.0447697576	0.0404469697	0.3005629091	0.2790043636	0.0617935758	0.0563347879	0.2670561818	0.1622689091	0.0425087879	0.0397427273	0.4083927273	0.1019385455	0.0861982424	0.0554938182	0.3614241212	0.1257997576	0.0212504848	0.1284137576	0.2984393939	0	0	0.0190241818
0	0.2040942424	0.0544824242	0.7217463636	0	0.1816070909	0.0464954545	0.2105206061	0.7140336364	0.0193265455	0.7053776364	0.0934896364	0	0	0.692625697	0.670406	0.0826721818	0.0178245455	0	0	0	0	0.7041605455	0.7039918788	0.1826292121	0.0318801818	0.1352540606	0	0.2576171515	0	0.136524303	0.7302801212	0	0.6915638182	0.1473060606	0.7231630909	0	0.7108752727	0.6401897576	0.2153851515	0.0620843636	0.7124873333	0.0684507273	0.022332	0.6938966667	0.558706	0.1311710909	0.2111738788	0.6957872727	0.081536	0.027348	0.0446331515	0.7108711515	0.1995278182	0.1791333333	0.0797515758	0.7217990303	0.1394472727	0.0352000606	0.0822293333	0.7224902424	0	0	0.0226126061
0	0.1241014545	0	0.7151892121	0	0.1726361818	0.0464569697	0.141650303	0.6999026667	0	0	0.0822293333	0	0	0.583557697	0.7079523636	0.0390022424	0	0	0	0	0	0.7289186061	0.7165892727	0.1578633333	0	0	0	0.1060610909	0	0.215372	0.6927911515	0	0.6938886667	0.1302953333	0.706619697	0	0.7197315152	0.7085445455	0.0477800606	0.0459922424	0.7066004848	0.070888	0.0159766061	0.6914820606	0.7081343636	0.1508577576	0.132794303	0.6902027879	0.1644204242	0.1325943636	0.1352878182	0.710141697	0.1327592727	0.0767150909	0.1024274545	0.7079364242	0.0480600606	0.1451157576	0.0822293333	0.7061732121	0	0	0.0267485455
0	0.1033064242	0	0.2829687273	0	0.0236732727	0.0121872121	0.0297273333	0.2858942424	0	0	0.0351435758	0	0	0.0090277576	0.1432283636	0.0212575758	0	0	0.4096469091	0	0	0.1402747879	0	0.0775891515	0	0	0.3010212121	0.0241570303	0	0.0378690303	0.1433426061	0	0.6944972727	0.0516471515	0.4161887879	0	0.2685533939	0.2894433333	0.021295697	0.0542592121	0.7264002424	0.0581775152	0.0176485455	0	0.2499289697	0.0633115152	0.127664303	0.696155697	0.0660043636	0.032785697	0.0516471515	0.2845109697	0.0459599394	0.0258070303	0.029730303	0.7228440606	0.0527032727	0.0418184242	0.0470857576	0.2756444242	0	0	0.0094506667
